,Adur_mean,Aisdur_mean,Bdur_mean,Cdur_mean,Cisdur_mean,Ddur_mean,Disdur_mean,Edur_mean,Fdur_mean,Fisdur_mean,Gdur_mean,Gisdur_mean,Adur_std,Aisdur_std,Bdur_std,Cdur_std,Cisdur_std,Ddur_std,Disdur_std,Edur_std,Fdur_std,Fisdur_std,Gdur_std,Gisdur_std
spectral_centroid,645.950188631927,691.0066105086631,748.7588743220177,678.8992974378309,661.4231713919019,667.7068845121237,673.8082583977449,655.7278608587567,658.3601101079142,635.5772992730815,652.3023949648734,656.3999837407507,16.17239762176068,56.40759947456135,44.5675851294992,59.72622402419032,45.33329573499586,139.8349493678573,31.761130633029158,30.40273396869417,26.486890845580632,18.23443873054268,27.84381966667463,28.238090814500385
mfcc_1,-73.47484588623047,-49.92467403411865,-71.37586784362793,-93.54790496826172,-113.09048995971679,-114.1777498071844,-71.32882515589397,-81.69047012329102,-69.43818130493165,-63.89786643981934,-72.81332855224609,-93.17748947143555,18.300161588544313,22.76383792799178,23.818711190607264,21.05752589707794,10.770375415303969,99.86427883784671,32.6770866915723,16.95063621049396,20.349231714538632,20.047256326888178,25.274689829170743,10.451943895048464
mfcc_2,100.35452194213867,96.32266159057617,92.97277145385742,95.63921966552735,95.42013092041016,83.8423344005238,98.71646499633789,101.10378875732422,99.97099227905274,101.25701675415038,99.3933090209961,99.4014503479004,2.860122050477654,3.0699819002464266,3.33189037021023,5.50554095497705,5.209643540847405,16.7056261495501,3.673250302804987,3.8927719804316396,3.5222979144869604,2.803456668726136,3.9825989827912753,4.176820674197185
mfcc_3,22.67111873626709,16.056078207492828,4.904436713457107,18.548861169815062,26.255445289611817,10.664423899217086,18.62609961628914,24.342247200012206,22.856170845031738,25.474279403686523,24.93709201812744,24.74285316467285,2.348674257265985,11.96713578848603,8.659886278488095,13.95097999478,2.89966635375269,10.327779099685054,7.914534661385417,1.8816527756941388,1.3974409619085144,1.9663008779431568,2.328970392587245,1.8502733347044773
mfcc_4,27.810889434814452,30.06954689025879,32.32118167877197,29.835754585266113,27.105476760864256,24.684228723699395,26.931394894917805,25.970215606689454,28.21177577972412,28.131528854370117,25.95718288421631,25.50576705932617,1.4497024945492711,3.522449052843881,2.644207037142084,3.368876243143382,0.7786582345436635,4.227817414359098,2.244703228802323,1.7349840154945897,2.3829454755255983,1.3108326163052066,1.0671201864125943,1.5370670009928749
mfcc_5,13.400202083587647,19.198568725585936,20.459164428710938,17.085178565979003,12.791431999206543,15.206012292341752,14.112525542577108,13.003472328186035,14.480733966827392,14.20301275253296,12.709230709075928,11.188818359375,1.1610563004324426,5.440829464157375,2.9481745979654144,5.9595225961407925,1.7518946075626876,4.779572839274295,3.798545511974573,1.0408097985756568,1.7415407555014224,1.730885762123055,1.7699795063978825,1.2419777596258994
chroma_stft_C,0.3381790041923523,0.3333872094750404,0.5004181087017059,0.86496701836586,0.5331287622451782,0.42196135087446734,0.2737154895439744,0.42844983041286466,0.7524352431297302,0.43601056933403015,0.4565899521112442,0.5055027306079865,0.06463808322187839,0.1293749756073705,0.06757987899309321,0.08714143511684352,0.12689127883651033,0.18311397782111863,0.1966145698452558,0.12233192349973805,0.08308850393967239,0.062584197612921,0.10550888842971314,0.18208892044924793
chroma_stft_C#,0.40298310816287997,0.3436945199966431,0.3475793570280075,0.4312703490257263,0.701409888267517,0.4875485599040985,0.2518750758220752,0.24437334015965462,0.3563310235738754,0.6529173076152801,0.3961257874965668,0.3741052091121674,0.0933984350585338,0.12438133580872936,0.07601007931198202,0.13980879679813316,0.10897177493278154,0.12860818027831603,0.17859024274989369,0.10486038062055257,0.09491176045417847,0.08284153940613251,0.11081292001156366,0.12545489737314658
chroma_stft_D,0.25358295142650605,0.5397092491388321,0.30970058143138884,0.24756526425480843,0.40922462940216064,0.8135511170734059,0.3369998335838318,0.2031681075692177,0.24105484783649445,0.3526567190885544,0.6148361593484879,0.33933757692575456,0.049559049001600214,0.15586924955280215,0.06657013364169173,0.15658221428225325,0.10781138551928497,0.10038706094977586,0.13815249009878414,0.08170645704050591,0.12699424655269706,0.11873233735336489,0.08269225823305425,0.10426299340457339
chroma_stft_D#,0.19810059815645217,0.24422840774059296,0.3719046115875244,0.18968613855540753,0.24267460070550442,0.41245816241611133,0.5474493081370989,0.1512374620884657,0.18481587022542953,0.1791704550385475,0.27170670330524443,0.34625198841094973,0.05105353274317977,0.0793480017560614,0.06790013596604558,0.11003833392323317,0.09776876113623674,0.120732479565254,0.10724472715294894,0.05861181008757458,0.09574846339742865,0.0795410479031694,0.0502747774762547,0.09532043203587647
chroma_stft_E,0.38019089698791503,0.29477428644895554,0.33883020728826524,0.23591356799006463,0.2543044574558735,0.3271929513324391,0.19853612159689268,0.19191608130931853,0.2653126552700996,0.1963462069630623,0.20158032104372978,0.23267469555139542,0.08578542718429356,0.04661642948766517,0.07538514467174984,0.11447430996983331,0.07377284898853463,0.13951598459358938,0.06832175144408939,0.0815110356458918,0.07366513670105385,0.05597667430216029,0.059894734306865795,0.06692233698396945
chroma_stft_F,0.24495139569044114,0.7116110146045684,0.4049456387758255,0.23269370682537555,0.43442629277706146,0.356230229139328,0.17497278998295465,0.1807950060814619,0.45377362966537477,0.3854259252548218,0.25808403491973875,0.2485184594988823,0.0508440228287227,0.12296609525998126,0.06812193471787219,0.1283323101844394,0.10810874426899565,0.13342051711531783,0.10020509122849833,0.08683565927482828,0.08163339569604951,0.03909267134093521,0.07192412746294692,0.07418222776820291
chroma_stft_F#,0.2294310823082924,0.34916488379240035,0.6076527059078216,0.3134313777089119,0.35283971577882767,0.5192347006364302,0.2298612349356214,0.2108895406126976,0.29843227565288544,0.7930992364883422,0.43604722917079924,0.3026552006602287,0.057896817409415414,0.08392521525377003,0.07200763594062215,0.14032835746329753,0.11129220113193686,0.11710606485438829,0.12417597748085805,0.09159065373121125,0.09290516943808967,0.06263606587093991,0.06207953130277305,0.08618338798411238
chroma_stft_G,0.27779511660337447,0.27347556352615354,0.44877399802207946,0.5738876312971115,0.3684249848127365,0.3828405026685108,0.35818488523364067,0.31596001982688904,0.2769101783633232,0.38026283085346224,0.7069654405117035,0.4174280524253845,0.0687378669193877,0.1055444744540524,0.07800496729805695,0.13683257113825684,0.08944984517900392,0.15380898316694752,0.09467049438895281,0.08187582771919619,0.09045454928962798,0.0643944257728661,0.06182209161980575,0.04751351891600803
chroma_stft_G#,0.5564819514751435,0.3422409974038601,0.43269001841545107,0.38598102778196336,0.6993789851665497,0.47360176796262915,0.3038562759757042,0.7484900414943695,0.45061123967170713,0.4577408641576767,0.5129803121089935,0.8662724256515503,0.08004316530741896,0.14010964449788302,0.0944310614630987,0.18174407396822737,0.0961327350085905,0.15252067052195986,0.15988352399705033,0.09876586780597016,0.09290303337340548,0.07930979142947331,0.10582327294795889,0.12632014185283413
chroma_stft_A,0.9277761042118072,0.44134493768215177,0.3986263990402222,0.3212102591991425,0.4626484513282776,0.7090959061275829,0.37198470408717793,0.3950446963310242,0.6993814766407013,0.4203716665506363,0.4256341427564621,0.5106309086084366,0.03520035137375609,0.14273148628352547,0.05777444693491659,0.20682350924264956,0.13266686522721882,0.08102816403201134,0.1381425198464587,0.09924480350112616,0.11943950204727151,0.06210728826188733,0.1351378962952607,0.07417605837022694
chroma_stft_A#,0.3870027482509613,0.719485604763031,0.4768601030111313,0.2772162135690451,0.32065479159355165,0.43523420799862256,0.8055786440769831,0.3096476823091507,0.3290774464607239,0.47166021168231964,0.354861119389534,0.3039903908967972,0.03513487902914003,0.11806333633524389,0.0550726214516954,0.1774397237233302,0.11116296321118757,0.14038713614333376,0.07658286689117982,0.12085145293230773,0.08178549339062047,0.06521378928864995,0.06177155570030561,0.08426775685446976
chroma_stft_B,0.33023504018783567,0.39905415177345277,0.8909772872924805,0.4279480457305908,0.3768198534846306,0.391958317973397,0.37005945295095444,0.7249906957149506,0.3918550699949265,0.34545634388923646,0.6420445263385772,0.3815830409526825,0.07879109811282037,0.12215252865072512,0.049861896923122186,0.1570090164487014,0.12752149202093713,0.18303387726373177,0.14906953163382908,0.0805528129765567,0.10467970680963284,0.06505944099429374,0.1490796128095009,0.11533553849526668
chroma_cens_C,0.21485693901777267,0.24637152031064033,0.21604941338300704,0.5623416036367417,0.2966869592666626,0.26278355853124097,0.24943451955914497,0.2801674515008926,0.48656444549560546,0.25162170380353927,0.2589604198932648,0.34459980130195617,0.03994224683413686,0.06404008308717152,0.05908404457812856,0.0719433777190795,0.03438128444823752,0.06218585514606699,0.07265367032726809,0.04926190924705653,0.06898602987354821,0.041612779631775156,0.045776985795310865,0.04777350755938932
chroma_cens_C#,0.35833404362201693,0.2642452508211136,0.2355210304260254,0.2726313292980194,0.5022883594036103,0.34535951099612494,0.25388804140190285,0.22657211869955063,0.2761882022023201,0.46657179594039916,0.2846983000636101,0.29418018758296965,0.056961024976503564,0.061083430426953765,0.0615017225597347,0.0461126980572322,0.05495127958982705,0.06688727014907396,0.10163440897417714,0.04811781934183217,0.049731831687190364,0.04393996803892264,0.07184632180920693,0.034299033086884895
chroma_cens_D,0.175008475035429,0.33180909752845766,0.19801536351442336,0.18314275555312634,0.26671154946088793,0.41631245613098145,0.24456183488170305,0.1286413162946701,0.1591884195804596,0.20170284509658815,0.3328953742980957,0.2172606110572815,0.061227673336519225,0.05984009275134077,0.041039991534179476,0.08110148607106975,0.050474669303926786,0.09436491296869232,0.05724788697403566,0.04984652355540343,0.060812698842272514,0.08302144311949224,0.03523726472264054,0.05849852308164888
chroma_cens_D#,0.16133975610136986,0.2078389160335064,0.36213901937007903,0.19621064588427545,0.18869752809405327,0.30395523797382007,0.42059170951445896,0.1603630691766739,0.12450403794646263,0.12455119974911213,0.1789526581764221,0.31667829751968385,0.08356269399015057,0.06734081129852454,0.07044270431978845,0.06813920693639983,0.0472568273472734,0.09777353757893345,0.07343735383316576,0.05559167071764502,0.0761309241832197,0.08411380245124198,0.05978535445683329,0.08182014584655897
chroma_cens_E,0.36348057687282564,0.2768888294696808,0.26515710949897764,0.26789458394050597,0.2288792423903942,0.28061469441110437,0.24181773141026497,0.3023588478565216,0.2374240905046463,0.20491866022348404,0.22052344232797622,0.19825238436460496,0.05915646164953333,0.062190659733480445,0.05533206858010022,0.05224932933828828,0.06868111945825026,0.07085469810747186,0.06902717178821971,0.03216854147645207,0.05953475569608998,0.06533859980830804,0.06544657943499187,0.06887876440548711
chroma_cens_F,0.2201939806342125,0.39798676371574404,0.21255871206521987,0.16171359941363334,0.27263002246618273,0.2026958472349427,0.18398994704087576,0.14269665703177453,0.36513674408197405,0.25654796063899993,0.19947183281183242,0.18044613748788835,0.04771603702452438,0.0601778308485889,0.04450122625333048,0.040213638806049105,0.05497923843775886,0.06437731616333711,0.048950632578691394,0.05918674787364846,0.060060585879979915,0.03408511446805207,0.04310328406625429,0.04801109585923146
chroma_cens_F#,0.13059212490916253,0.18855221197009087,0.3789357006549835,0.16533823162317277,0.14628274813294412,0.27425631880760193,0.14519177749752998,0.10516482442617417,0.13453859984874725,0.42520807683467865,0.23831721544265747,0.1430516079068184,0.03916892567783532,0.047198049430435984,0.04519642490634468,0.052309928844676466,0.05781422241032758,0.04168733955868348,0.05242352802352171,0.05666372140300185,0.031511411790606146,0.05749786671578529,0.029219333907090472,0.04688355410290814
chroma_cens_G,0.19347843453288077,0.19275627732276918,0.2456301011145115,0.38906491100788115,0.1814052678644657,0.20364034175872803,0.265150785446167,0.18399698436260223,0.2064095824956894,0.17119769975543023,0.40257773697376253,0.24550075680017472,0.045971712167126075,0.04284224120920368,0.07389339311805253,0.0853659388306123,0.05656064845448767,0.05974290460057268,0.07959101564697994,0.05552238534856745,0.045928885379853235,0.028570612248583465,0.06494839491945513,0.059796854900422775
chroma_cens_G#,0.3879598259925842,0.299871526658535,0.26213883310556413,0.2942606121301651,0.4254578500986099,0.26738850569183176,0.32550156240661937,0.5231191396713257,0.3240232229232788,0.34996078014373777,0.37383309900760653,0.530144852399826,0.04519360778709468,0.05581811875637538,0.05947733989782359,0.056658522618486765,0.048576929830189894,0.07969421159662618,0.06304682600181623,0.07710451818966457,0.03626988503127624,0.04667081036673367,0.0364818332422913,0.0973295311106666
chroma_cens_A,0.48884958028793335,0.20266207456588745,0.1460410825908184,0.18989000022411345,0.23546838611364365,0.31886517053300684,0.20413756867249808,0.2143100954592228,0.39042271971702575,0.21118845641613007,0.2261880651116371,0.2406460464000702,0.0480792573698703,0.04069346345331243,0.040785394175462904,0.05713296981467254,0.035273927037819806,0.05943643823648734,0.06281053787902705,0.06794192620525678,0.06341429248388882,0.04513878298816591,0.05887249743497669,0.062070996260332634
chroma_cens_A#,0.16393879652023316,0.4157347768545151,0.163420919328928,0.13040162003599107,0.15347338542342187,0.16316131671721285,0.4268694619337718,0.1513802759349346,0.14582354351878166,0.25572330057621,0.14445974081754684,0.13212957307696344,0.037105617107566796,0.03529878590786675,0.04540984868066983,0.07279132129010071,0.030298019352653544,0.07181793009979277,0.07280746885108416,0.059602658285564415,0.06505531916543093,0.05386371361808967,0.06218898993687982,0.04604018599241088
chroma_cens_B,0.22379615753889084,0.17018169946968556,0.42137077152729036,0.2071991853415966,0.23181696981191635,0.15598403645510023,0.19603112464149794,0.48794815838336947,0.1901065319776535,0.1860349252820015,0.32412937730550767,0.20422879755496978,0.04674730310411966,0.07621304549174475,0.05160409415023575,0.05860558998502228,0.038792331909841916,0.081187074167105,0.08239702473652949,0.05877192040355171,0.05119080326070028,0.04821946266723226,0.08314074119366129,0.06005854349744771
tonnetz_1,0.15016312765217912,-0.06951247837108834,0.053453402285259945,0.0523210733870486,-0.12278919536174777,0.1538136741710069,-0.20800032459878529,-0.0345893746786518,0.06745134571283676,-0.08492836071745807,0.12970664791112418,-0.14768913406543452,0.03576711271313774,0.05346898643244808,0.01211121402116881,0.026175254722443645,0.058446339470528914,0.07984858145642122,0.07974287289960116,0.0452797887523087,0.033528899554187565,0.03372908995651731,0.03952863565485865,0.05810829625929299
tonnetz_2,-0.0681748079144823,0.1614448487690277,-0.17004666542822292,0.1927767387907579,-0.06207227454495775,0.011365615887030734,0.11352269972653335,-0.17506408742657084,0.12258547714174803,-0.14063576736475597,0.028657622515012922,-0.05062042473473345,0.020718067205718282,0.060828253955411825,0.039962862568288696,0.09290908836435094,0.06527270340486288,0.020453711588411458,0.049802266310977214,0.048347887187630056,0.04545723293797148,0.030623265035237213,0.03766436392332587,0.045600131867842585
tonnetz_3,-0.262626173967729,-0.171090159963351,0.22330780970034506,0.10380829614849027,-0.18998384545251681,-0.10146529519724146,0.1762817284662255,0.1691719295841167,-0.20204267204972023,-0.13922469144570687,0.19034744419506716,0.03575951946011527,0.051382836485868284,0.07925976981405779,0.04096367263912551,0.08560575726556767,0.06517708035341438,0.05754418101172192,0.09308907698632692,0.03760483121832228,0.07133561608917,0.027738653379825867,0.09846734047538691,0.032090549204731374
tonnetz_4,0.11682061242521632,-0.19415334299672474,-0.05994529029878352,0.24891511820416756,0.14397225163032942,-0.19306040817517214,-0.23940757385328978,0.2596778991119205,0.19047600513585983,-0.17282805249793504,-0.08181401194538955,0.2711174094321901,0.02695461214977904,0.019019065344964805,0.043718215255787514,0.1073299020093389,0.06342765380026555,0.10970300872425309,0.08508729973804785,0.10389875113206092,0.05135595063154522,0.03986938580629794,0.04639010374337158,0.0851420356887187
tonnetz_5,0.01627219131125084,-0.04159846162115261,-0.07185235821149824,0.04653519820969967,-0.0375744244532901,-0.05674837794294547,0.08113793590966595,-0.14257961409328473,-0.03464932357554394,0.02746379808119597,-0.03873770960371388,-0.08418864916895058,0.020709948429415783,0.027966791492161264,0.01571140182487907,0.033664306441796785,0.026899610412101812,0.027373247730947747,0.042326419167472595,0.0447004780232319,0.011854534885493978,0.023136259966809066,0.02859498142571972,0.03420749081380196
tonnetz_6,0.05179405268005215,-0.07028733967439614,0.007210534007754089,0.05320082950715016,-0.04882030664983185,0.029164815640780786,-0.003659826627274886,-0.0665453504525251,0.09565237424823861,0.029032214335602553,-0.04545891867252061,-0.0035513241502850247,0.01177541669405403,0.024663953713199845,0.013409719172624289,0.03622905837349204,0.02843473525217009,0.014166490732353588,0.018967320007692023,0.019852130692520013,0.02404192800906238,0.01437788041218269,0.020661574668614808,0.031296540423872865
